zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
4118622,8924 S Parnell Ave,Chicago,IL,60620,41.731823,-87.63777,139900.0,2.0,5.0,0.0,SINGLE_FAMILY
54542106,39 E 89th St,Chicago,IL,60619,41.73246,-87.62244,300000.0,2.0,3.0,1925.0,SINGLE_FAMILY
4154658,11823 S Harvard Ave,Chicago,IL,60628,41.679043,-87.63075,53000.0,2.0,4.0,1382.0,SINGLE_FAMILY
4122208,9115 S May St,Chicago,IL,60620,41.72812,-87.651535,344900.0,3.0,4.0,1600.0,SINGLE_FAMILY
4028559,8601 S Houston Ave,Chicago,IL,60617,41.739094,-87.54993,287000.0,3.0,4.0,3155.0,SINGLE_FAMILY
4139772,10606 S Vernon Ave,Chicago,IL,60628,41.70153,-87.612724,124900.0,2.0,2.0,1200.0,SINGLE_FAMILY
2067286201,12438 S Lasalle St,Chicago,IL,60628,41.667744,-87.62622,110000.0,2.0,5.0,1096.0,SINGLE_FAMILY
4131346,9923 S Wallace St,Chicago,IL,60628,41.71353,-87.6378,155000.0,2.0,3.0,1250.0,SINGLE_FAMILY
4138805,10507 S Indiana Ave,Chicago,IL,60628,41.7033,-87.61819,279500.0,2.0,4.0,1600.0,SINGLE_FAMILY
439200524,10841 S Vernon Ave,Chicago,IL,60628,41.69699,-87.61201,198900.0,2.0,4.0,1201.0,SINGLE_FAMILY
4130941,9627 S La Salle St,Chicago,IL,60628,41.71908,-87.62705,130000.0,2.0,2.0,1978.0,SINGLE_FAMILY
441119546,8937 S Houston Ave,Chicago,IL,60617,41.73263,-87.54953,119000.0,2.0,6.0,,MULTI_FAMILY
4166411,8909 S Phillips Ave,Chicago,IL,60617,41.733246,-87.56434,294900.0,2.0,4.0,1200.0,SINGLE_FAMILY
4175187,13049 S Brandon Ave,Chicago,IL,60633,41.657757,-87.54555,320000.0,2.0,3.0,1900.0,SINGLE_FAMILY
4133564,9818 S Calumet Ave,Chicago,IL,60628,41.715755,-87.61555,259000.0,3.0,1.0,1200.0,SINGLE_FAMILY
4154370,11639 S Stewart Ave,Chicago,IL,60628,41.682198,-87.63206,225000.0,2.0,4.0,2400.0,SINGLE_FAMILY
4132185,9953 S Perry Ave,Chicago,IL,60628,41.712856,-87.6257,194900.0,2.0,3.0,1080.0,SINGLE_FAMILY
4152522,11252 S Normal Ave,Chicago,IL,60628,41.689095,-87.635376,349000.0,3.0,5.0,2800.0,SINGLE_FAMILY
2091105495,8720 S Mackinaw Ave,Chicago,IL,60617,41.73676,-87.543465,170000.0,2.0,6.0,,MULTI_FAMILY
4122361,9240 S Aberdeen St,Chicago,IL,60620,41.725643,-87.65098,289900.0,2.0,3.0,1200.0,SINGLE_FAMILY
4128429,9818 S Peoria St,Chicago,IL,60643,41.715332,-87.64583,260000.0,2.0,4.0,1200.0,SINGLE_FAMILY
4117395,9432 S Forest Ave,Chicago,IL,60619,41.722645,-87.61693,319900.0,3.0,3.0,1400.0,SINGLE_FAMILY
2136148503,9134 S Avalon Ave,Chicago,IL,60619,41.728436,-87.59406,349990.0,2.0,6.0,,MULTI_FAMILY
4151907,11606 S May St,Chicago,IL,60643,41.682846,-87.65093,235000.0,2.0,4.0,1874.0,SINGLE_FAMILY
4156357,12033 S Wallace St,Chicago,IL,60628,41.675026,-87.63665,249000.0,3.0,4.0,2114.0,SINGLE_FAMILY
4156989,12014 S Princeton Ave,Chicago,IL,60628,41.67563,-87.63015,50000.0,2.0,4.0,1402.0,SINGLE_FAMILY
4121082,8836 S Carpenter St,Chicago,IL,60620,41.73301,-87.64997,265000.0,2.0,4.0,1544.0,SINGLE_FAMILY
4118832,9000 S Parnell Ave,Chicago,IL,60620,41.730705,-87.63774,89900.0,2.0,3.0,1100.0,SINGLE_FAMILY
4141904,10505 S La Salle St,Chicago,IL,60628,41.703243,-87.62664,255900.0,3.0,4.0,1320.0,SINGLE_FAMILY
4135320,9847 S Ingleside Ave,Chicago,IL,60628,41.715282,-87.600266,189900.0,2.0,3.0,1351.0,SINGLE_FAMILY
4156834,11940 S Yale Ave,Chicago,IL,60628,41.67671,-87.62898,99000.0,3.0,4.0,1858.0,SINGLE_FAMILY
4111193,9012 S Ridgeland Ave,Chicago,IL,60617,41.73102,-87.581924,150000.0,2.0,3.0,1652.0,SINGLE_FAMILY
4131383,9927 S Parnell Ave,Chicago,IL,60628,41.713432,-87.63659,109000.0,1.0,2.0,768.0,SINGLE_FAMILY
4113099,9232 S Clyde Ave,Chicago,IL,60617,41.726948,-87.57339,245000.0,2.0,3.0,1100.0,SINGLE_FAMILY
4166624,2850 E 98th St,Chicago,IL,60617,41.717575,-87.55449,299000.0,2.0,2.0,1116.0,SINGLE_FAMILY
4157517,12238 S La Salle St,Chicago,IL,60628,41.671368,-87.62634,249900.0,2.0,4.0,1600.0,SINGLE_FAMILY
4157014,12039 S Princeton Ave,Chicago,IL,60628,41.67491,-87.62943,180000.0,2.0,4.0,1056.0,SINGLE_FAMILY
4158532,12346 S Lafayette Ave,Chicago,IL,60628,41.669304,-87.62395,89900.0,2.0,2.0,572.0,SINGLE_FAMILY
4117747,619 E 92nd Pl,Chicago,IL,60619,41.726288,-87.608574,120000.0,1.0,4.0,1420.0,SINGLE_FAMILY
4159443,105 W 126th Pl,Chicago,IL,60628,41.664154,-87.62451,230000.0,2.0,5.0,1008.0,SINGLE_FAMILY
4120112,9302 S Perry Ave,Chicago,IL,60620,41.725132,-87.62668,259999.0,2.0,4.0,1020.0,SINGLE_FAMILY
